Chr	Start	End	Strand	TranscriptId	GeneId	GeneName	RFP.ZT0.R1	RFP.ZT0.R2	RFP.ZT2.R1	RFP.ZT2.R2	RFP.ZT4.R1	RFP.ZT4.R2	RFP.ZT6.R1	RFP.ZT6.R2	RFP.ZT8.R1	RFP.ZT8.R2	RFP.ZT10.R1	RFP.ZT10.R2	RFP.ZT12.R1	RFP.ZT12.R2	RFP.ZT14.R1	RFP.ZT14.R2	RFP.ZT16.R1	RFP.ZT16.R2	RFP.ZT18.R1	RFP.ZT18.R2	RFP.ZT20.R1	RFP.ZT20.R2	RFP.ZT22.R1	RFP.ZT22.R2	RNA.ZT0.R1	RNA.ZT0.R2	RNA.ZT2.R1	RNA.ZT2.R2	RNA.ZT4.R1	RNA.ZT4.R2	RNA.ZT6.R1	RNA.ZT6.R2	RNA.ZT8.R1	RNA.ZT8.R2	RNA.ZT10.R1	RNA.ZT10.R2	RNA.ZT12.R1	RNA.ZT12.R2	RNA.ZT14.R1	RNA.ZT14.R2	RNA.ZT16.R1	RNA.ZT16.R2	RNA.ZT18.R1	RNA.ZT18.R2	RNA.ZT20.R1	RNA.ZT20.R2	RNA.ZT22.R1	RNA.ZT22.R2
chr6	115399027	115467360	+	ENSMUST00000000450	ENSMUSG00000000440	Pparg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.164979	0.000000	0.000000	0.000000	0.000000	0.000000	0.420276	0.000000	0.000000	0.000000	0.330532	0.000000	0.000000	0.000000	0.000000	0.128908	0.000000	1.403205	0.911085
chr6	82888866	82916750	-	ENSMUST00000000641	ENSMUSG00000000627	Sema4f	0.0	0.0	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.035825	0.028525	0.000000	0.014836	0.008546	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.034076	0.077563
chr1	161608258	161616064	-	ENSMUST00000000834	ENSMUSG00000000817	Fasl	0.0	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.149048	0.036729	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.040867	0.023857	0.0	0.000000	0.000000	0.035007	0.032339
chr11	24028056	24123194	+	ENSMUST00000000881	ENSMUSG00000000861	Bcl11a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.031229	0.000000	0.000000	0.000000	0.000000	0.011408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr2	154386319	154400786	-	ENSMUST00000000895	ENSMUSG00000027489	Necab3	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031538	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.023928	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000
chr10	75759056	75768336	-	ENSMUST00000000924	ENSMUSG00000000901	Mmp11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081891	0.032239	0.000000	0.102581	0.107162	0.000000	0.038387	0.077299	0.053492	0.000000	0.040698	0.023769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008224	0.051384	0.039185	0.000000
chr14	54606899	54646917	-	ENSMUST00000000984	ENSMUSG00000000958	Slc7a7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.366711	0.690372	0.495550	0.000000	0.000000	0.000000	0.000000	0.769152	0.000000	0.000000	0.000000	0.000000	0.000000	0.065633	0.087469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr11	83599841	83602174	+	ENSMUST00000001009	ENSMUSG00000000983	Wfdc18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr9	21015365	21038642	-	ENSMUST00000001036	ENSMUSG00000032175	Tyk2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001021	0.000000	0.000000	0.000000	2.882985	0.015769	1.729483	0.078460	0.000000	0.000000	0.012565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.070354	0.053434
chr9	20940669	20941891	+	ENSMUST00000001040	ENSMUSG00000001014	Icam4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.144573	0.096447	0.000000	0.000000	0.000000	0.000000	0.074282	0.000000	0.063292	0.000000	0.082138	0.000000	0.008659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr4	136267665	136276629	+	ENSMUST00000001116	ENSMUSG00000001089	Luzp1	0.889091	0.000000	0.635046	0.831464	0.000000	0.000000	0.000000	1.126650	1.249516	1.493438	1.068818	1.352424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.785492	0.000000	1.591291	1.873119	1.508513	0.000000	1.916959	1.695457	1.740418	2.477439	2.077352	1.691799	1.222541	0.000000	0.000000	0.897982	0.959561	1.226695	0.253327	0.000000	0.000000	0.000000	2.195172	2.426071
chr5	114503683	114518544	-	ENSMUST00000001125	ENSMUSG00000001098	Kctd10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.104005	0.000000	0.000000	0.000000	0.000000	1.316936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036623	0.000000	1.931929
chr10	76597691	76797622	-	ENSMUST00000001148	ENSMUSG00000001120	Pcbp3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.130718	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chrX	20714782	20726758	+	ENSMUST00000001155	ENSMUSG00000001127	Araf	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.508317	4.530359	3.343191	0.000000	5.107519	4.389974	4.203209	4.242338	3.594051	4.953788	4.688550	4.871812	3.475243	2.377134	1.595573	1.883661	0.000000	1.425676	0.000000	0.000000	0.705987	0.000000	9.854072	9.383204
chrX	20818168	20828239	-	ENSMUST00000001162	ENSMUSG00000001134	Uxt	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.478135	0.000000	1.917795	0.000000	0.000000	1.312745	0.000000	1.884499	1.946313	2.283352	0.000000	2.185677	0.210230	0.310900	0.119153	1.059505	0.084664	0.062637	0.020888	0.000000	0.000000	0.170809	3.234327	0.000000
chr1	36462267	36484352	-	ENSMUST00000001171	ENSMUSG00000001143	Lman2l	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.309274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr1	36577175	36586526	-	ENSMUST00000001172	ENSMUSG00000079610	Ankrd39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.581164	0.000000	0.000000	0.833380	0.095803	0.000000	0.000000	0.055130	0.029335	0.017786	0.000000	0.027369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018888	0.000000	0.000000	0.848576	0.000000
chr10	76187101	76278560	-	ENSMUST00000001179	ENSMUSG00000001151	Pcnt	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059583	0.000000	0.000000	0.000000	0.000000	0.083938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014849	0.271964
chr6	86713823	86770566	-	ENSMUST00000001187	ENSMUSG00000029994	Anxa4	0.127531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.788793	9.931777	10.620385	0.551173	15.719923	8.197903	11.688557	8.416200	10.674540	17.232012	10.989275	11.126071	0.203672	5.658178	1.563309	0.402928	0.097325	0.176275	0.106533	0.000000	1.760815	5.543478	10.911112	5.118380
chr12	31569826	31609968	-	ENSMUST00000001253	ENSMUSG00000020651	Slc26a4	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021944	0.025088	0.000000	0.000000	0.000000	0.040636	0.000000	0.011507	0.030265	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr7	30829552	30850507	-	ENSMUST00000001280	ENSMUSG00000001248	Gramd1a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.091817	0.000000	0.000000	0.000000	0.000000	0.293417	0.000000	0.000000	0.383116	0.000000	0.203395	0.000000	0.000000	0.000000	0.000000	0.000000	0.057063	0.000000	0.000000	0.000000	0.000000	0.000000	0.245082
chr12	111635795	111638772	-	ENSMUST00000001304	ENSMUSG00000001270	Ckb	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.023768	0.646542	0.091573	0.080750	0.591557	0.178742	0.538382	0.755205	0.159913	0.158035	0.216585	0.425529	0.044641	0.000000	0.000000	0.033560	0.041327	0.000000	0.000000	0.000000	0.026837	0.195417	1.230440	2.501961
chr11	101359001	101362679	+	ENSMUST00000001347	ENSMUSG00000001313	Rnd2	0.000000	0.448089	0.198617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.637034	0.640794	0.000000	0.903938	0.000000	0.000000	1.649321	1.569899	2.040505	0.573917	0.000000	0.000000	0.672530	0.000000	0.566806	0.000000	0.000000	0.000000	0.000000	0.000000	0.931833	2.700928	3.213127
chr9	22010564	22020926	+	ENSMUST00000001384	ENSMUSG00000001349	Cnn1	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.054832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022563	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.024224
chr9	77988784	78016347	-	ENSMUST00000001402	ENSMUSG00000001366	Fbxo9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046517	0.031372	0.032510	0.000000	0.212351	0.009633	0.023822	0.053150	0.378829	0.020567	0.000000	0.009455	0.003772	0.000000	0.012599	0.000000	0.000000	0.000000	0.003996	0.000000	0.000000	0.026164
chr6	3498382	3603531	+	ENSMUST00000001412	ENSMUSG00000001376	Vps50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.286800	1.935884	1.775536	1.338950	0.000000	2.039131	0.000000	0.337403	0.000000	1.660044	2.412715	0.000000	2.008847	0.271638	0.000000	0.000000	0.000000	0.000000	0.279508	0.000000	0.000000	0.000000	0.000000	1.968750	1.654294
chr6	128376729	128385895	+	ENSMUST00000001561	ENSMUSG00000001520	Nrip2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012414	0.000000	0.000000	0.000000	0.000000	0.000000	0.012053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018081
chr11	100332743	100347848	+	ENSMUST00000001599	ENSMUSG00000001558	Klhl10	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.013157	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.000000	0.000000
chr15	102899039	102902253	+	ENSMUST00000001703	ENSMUSG00000001657	Hoxc8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.008973	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000
chr7	34885810	34900539	+	ENSMUST00000001854	ENSMUSG00000030495	Slc7a10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr2	31840151	31863454	+	ENSMUST00000001920	ENSMUSG00000001864	Aif1l	0.000000	0.0	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.014715	0.0	0.000000	0.000000	0.041649	0.000000	0.000000	0.0	0.000000	0.012413	0.000000	0.014339	0.000000	0.000000	0.0	0.009698	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.027458
chr9	37532950	37559551	+	ENSMUST00000002007	ENSMUSG00000001942	Siae	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr9	37450551	37455497	+	ENSMUST00000002008	ENSMUSG00000001943	Vsig2	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.000000	0.037082	0.101481	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.092176	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.142801	0.000000
chr7	16189646	16210705	-	ENSMUST00000002053	ENSMUSG00000001988	Npas1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.091458	0.000000
